timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-07 00:45:22 UTC,2025-07-07,00:45:22,463.58,0,Monday,1751849122
2025-07-07 02:47:21 UTC,2025-07-07,02:47:21,463.8,2,Monday,1751856441
2025-07-07 03:48:16 UTC,2025-07-07,03:48:16,463.87,3,Monday,1751860096
2025-07-07 04:24:05 UTC,2025-07-07,04:24:05,463.89,4,Monday,1751862245
2025-07-07 05:13:04 UTC,2025-07-07,05:13:04,463.94,5,Monday,1751865184
2025-07-07 06:13:58 UTC,2025-07-07,06:13:58,463.98,6,Monday,1751868838
2025-07-07 07:11:44 UTC,2025-07-07,07:11:44,464.63,7,Monday,1751872304
2025-07-07 08:13:47 UTC,2025-07-07,08:13:47,464.78,8,Monday,1751876027
2025-07-07 09:12:17 UTC,2025-07-07,09:12:17,464.83,9,Monday,1751879537
2025-07-07 10:01:09 UTC,2025-07-07,10:01:09,464.99,10,Monday,1751882469
2025-07-07 11:00:57 UTC,2025-07-07,11:00:57,465.01,11,Monday,1751886057
2025-07-07 12:15:47 UTC,2025-07-07,12:15:47,465.02,12,Monday,1751890547
2025-07-07 13:25:50 UTC,2025-07-07,13:25:50,465.03,13,Monday,1751894750
2025-07-07 14:00:56 UTC,2025-07-07,14:00:56,465.05,14,Monday,1751896856
2025-07-07 15:00:56 UTC,2025-07-07,15:00:56,465.05,15,Monday,1751900456
2025-07-07 16:10:17 UTC,2025-07-07,16:10:17,465.08,16,Monday,1751904617
2025-07-07 17:08:26 UTC,2025-07-07,17:08:26,465.13,17,Monday,1751908106
2025-07-07 18:01:06 UTC,2025-07-07,18:01:06,465.18,18,Monday,1751911266
2025-07-07 19:07:40 UTC,2025-07-07,19:07:40,465.43,19,Monday,1751915260
2025-07-07 20:00:59 UTC,2025-07-07,20:00:59,465.53,20,Monday,1751918459
2025-07-07 21:01:15 UTC,2025-07-07,21:01:15,465.66,21,Monday,1751922075
2025-07-07 22:00:54 UTC,2025-07-07,22:00:54,465.7,22,Monday,1751925654
2025-07-07 23:08:09 UTC,2025-07-07,23:08:09,465.73,23,Monday,1751929689
