timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-06 01:10:03 UTC,2025-07-06,01:10:03,459.93,1,Sunday,1751764203
2025-07-06 01:30:10 UTC,2025-07-06,01:30:10,459.96,1,Sunday,1751765410
2025-07-06 03:19:38 UTC,2025-07-06,03:19:38,460.04,3,Sunday,1751771978
2025-07-06 04:22:46 UTC,2025-07-06,04:22:46,460.09,4,Sunday,1751775766
2025-07-06 05:09:40 UTC,2025-07-06,05:09:40,460.24,5,Sunday,1751778580
2025-07-06 06:00:35 UTC,2025-07-06,06:00:35,460.28,6,Sunday,1751781635
2025-07-06 07:00:34 UTC,2025-07-06,07:00:34,460.31,7,Sunday,1751785234
2025-07-06 08:00:43 UTC,2025-07-06,08:00:43,460.35,8,Sunday,1751788843
2025-07-06 09:00:34 UTC,2025-07-06,09:00:34,460.36,9,Sunday,1751792434
2025-07-06 10:00:58 UTC,2025-07-06,10:00:58,460.4,10,Sunday,1751796058
2025-07-06 11:00:43 UTC,2025-07-06,11:00:43,460.61,11,Sunday,1751799643
2025-07-06 12:13:41 UTC,2025-07-06,12:13:41,460.69,12,Sunday,1751804021
2025-07-06 13:19:19 UTC,2025-07-06,13:19:19,460.76,13,Sunday,1751807959
2025-07-06 14:00:52 UTC,2025-07-06,14:00:52,460.8,14,Sunday,1751810452
2025-07-06 15:00:45 UTC,2025-07-06,15:00:45,460.85,15,Sunday,1751814045
2025-07-06 15:07:40 UTC,2025-07-06,15:07:40,460.86,15,Sunday,1751814460
2025-07-06 16:01:05 UTC,2025-07-06,16:01:05,460.91,16,Sunday,1751817665
2025-07-06 17:01:05 UTC,2025-07-06,17:01:05,460.97,17,Sunday,1751821265
2025-07-06 18:10:29 UTC,2025-07-06,18:10:29,461.05,18,Sunday,1751825429
2025-07-06 19:01:00 UTC,2025-07-06,19:01:00,461.09,19,Sunday,1751828460
2025-07-06 20:00:49 UTC,2025-07-06,20:00:49,461.26,20,Sunday,1751832049
2025-07-06 21:07:16 UTC,2025-07-06,21:07:16,461.31,21,Sunday,1751836036
2025-07-06 22:01:14 UTC,2025-07-06,22:01:14,461.34,22,Sunday,1751839274
2025-07-06 23:01:16 UTC,2025-07-06,23:01:16,461.7,23,Sunday,1751842876
